review_id,customer_id,product_id,rating,review_text,review_date
377,2,73,3,Great quality and fast shipping.,16-07-2025 08:26
378,2,97,4,Would buy again.,17-07-2025 08:26
21,4,90,3,The product matched the description.,17-01-2025 19:53
101,6,43,5,Exactly what I needed.,26-02-2025 08:55
405,6,13,4,"Packaging could be better, but the item is good.",12-10-2025 14:48
245,9,1,5,Would buy again.,04-05-2025 19:33
373,9,39,4,Works well and feels durable.,26-09-2025 19:24
374,9,16,5,Would buy again.,20-10-2025 19:24
87,12,71,4,The product matched the description.,19-07-2025 13:09
95,12,96,4,Great quality and fast shipping.,23-01-2026 02:53
228,14,2,4,The product matched the description.,09-01-2026 17:52
349,14,21,4,Great quality and fast shipping.,22-03-2025 13:35
104,15,79,3,The product matched the description.,07-04-2025 16:12
278,15,39,3,Great quality and fast shipping.,09-10-2025 00:58
30,17,47,3,Good value for the price.,31-03-2025 06:29
26,20,87,4,Would buy again.,24-05-2025 13:27
158,20,65,5,Good value for the price.,18-11-2025 03:50
27,22,41,4,Works well and feels durable.,04-05-2025 09:40
28,22,14,3,"Packaging could be better, but the item is good.",19-05-2025 09:40
80,22,11,4,Works well and feels durable.,17-09-2025 02:14
81,22,66,4,"Packaging could be better, but the item is good.",30-09-2025 02:14
82,22,27,4,Works well and feels durable.,14-09-2025 02:14
267,23,88,4,The product matched the description.,20-10-2025 19:03
268,23,54,3,Great quality and fast shipping.,25-10-2025 19:03
269,23,31,5,The product matched the description.,27-10-2025 19:03
333,25,43,5,Good value for the price.,17-01-2026 17:41
402,25,40,3,Exactly what I needed.,22-07-2025 14:37
115,26,29,3,Exactly what I needed.,22-12-2025 05:02
116,26,58,3,Great quality and fast shipping.,05-12-2025 05:02
128,26,35,4,Solid performance overall.,14-12-2025 18:44
129,26,94,4,Exactly what I needed.,02-01-2026 18:44
130,26,54,3,Good value for the price.,11-01-2026 18:44
201,26,31,5,Good value for the price.,07-06-2025 17:17
394,27,52,3,Works well and feels durable.,02-07-2025 06:26
96,28,69,4,Good value for the price.,11-04-2025 16:31
166,28,37,4,The product matched the description.,23-01-2025 03:33
183,28,26,5,Would buy again.,15-04-2025 14:17
189,28,13,4,Works well and feels durable.,31-01-2025 18:22
303,28,76,4,Exactly what I needed.,06-07-2025 07:24
304,28,89,5,Solid performance overall.,04-07-2025 07:24
258,29,28,3,Would buy again.,13-05-2025 19:54
358,29,83,5,Good value for the price.,03-07-2025 01:23
285,31,54,5,Would buy again.,14-02-2025 15:34
212,33,42,5,Great quality and fast shipping.,13-03-2025 07:35
213,33,61,4,Solid performance overall.,26-02-2025 07:35
308,33,84,4,Solid performance overall.,24-07-2025 14:26
170,34,6,5,"Packaging could be better, but the item is good.",17-03-2025 19:57
335,34,15,5,Solid performance overall.,17-06-2025 08:11
162,35,75,5,Good value for the price.,12-08-2025 01:25
51,36,18,5,Exactly what I needed.,13-04-2025 23:53
246,36,12,3,Great quality and fast shipping.,11-05-2025 05:52
247,36,74,4,Good value for the price.,05-05-2025 05:52
64,37,99,5,Great quality and fast shipping.,21-09-2025 13:59
74,37,28,4,The product matched the description.,03-02-2025 21:38
375,38,15,3,Works well and feels durable.,29-11-2025 20:35
376,38,62,5,Would buy again.,22-11-2025 20:35
210,40,95,4,Solid performance overall.,16-02-2025 01:50
211,40,37,3,Great quality and fast shipping.,16-02-2025 01:50
330,40,85,3,Exactly what I needed.,24-12-2025 15:07
331,40,57,4,Good value for the price.,09-12-2025 15:07
380,40,84,5,The product matched the description.,11-05-2025 08:19
381,40,86,4,Exactly what I needed.,18-04-2025 08:19
68,41,17,3,The product matched the description.,08-07-2025 17:04
69,41,39,3,Good value for the price.,06-07-2025 17:04
70,41,21,5,Exactly what I needed.,16-07-2025 17:04
279,42,23,4,Good value for the price.,29-10-2025 08:20
337,42,8,5,Works well and feels durable.,01-12-2025 12:56
371,42,48,4,Exactly what I needed.,21-04-2025 17:26
372,42,24,3,Works well and feels durable.,13-04-2025 17:26
40,43,52,3,The product matched the description.,17-10-2025 14:28
41,43,97,4,Solid performance overall.,09-10-2025 14:28
42,43,43,3,Good value for the price.,18-10-2025 14:28
46,45,11,4,Works well and feels durable.,21-12-2025 08:35
47,45,87,5,"Packaging could be better, but the item is good.",17-12-2025 08:35
48,45,41,3,Would buy again.,17-12-2025 08:35
173,46,58,4,Would buy again.,18-11-2025 18:37
49,47,74,5,Would buy again.,25-06-2025 07:27
347,47,45,4,Works well and feels durable.,12-11-2025 20:46
348,47,54,5,Would buy again.,30-10-2025 20:46
202,48,52,4,Solid performance overall.,11-08-2025 00:52
203,48,36,4,Good value for the price.,22-08-2025 00:52
131,49,21,4,Exactly what I needed.,15-07-2025 21:05
45,51,97,3,Good value for the price.,27-07-2025 22:20
143,52,3,4,Good value for the price.,19-10-2025 02:14
144,52,1,5,Exactly what I needed.,03-11-2025 02:14
338,52,56,3,Works well and feels durable.,31-08-2025 08:25
341,52,50,4,Solid performance overall.,02-04-2025 22:12
58,53,77,4,Exactly what I needed.,26-11-2025 06:38
59,53,69,5,"Packaging could be better, but the item is good.",19-12-2025 06:38
406,53,39,3,Works well and feels durable.,08-06-2025 19:26
102,55,80,5,Good value for the price.,06-01-2026 02:00
390,55,24,4,The product matched the description.,23-01-2026 19:28
391,55,57,4,"Packaging could be better, but the item is good.",01-01-2026 19:28
2,56,8,5,Works well and feels durable.,29-08-2025 22:15
3,56,9,3,Would buy again.,24-08-2025 22:15
4,56,61,5,Good value for the price.,11-09-2025 22:15
14,56,28,5,The product matched the description.,13-08-2025 12:16
20,56,3,4,Great quality and fast shipping.,01-08-2025 17:46
55,56,5,3,Great quality and fast shipping.,19-07-2025 10:43
56,56,58,5,"Packaging could be better, but the item is good.",14-07-2025 10:43
57,56,34,4,Works well and feels durable.,15-07-2025 10:43
386,56,79,3,The product matched the description.,31-03-2025 08:33
387,56,89,3,Would buy again.,08-03-2025 08:33
110,57,10,5,The product matched the description.,20-09-2025 17:56
111,57,31,3,Solid performance overall.,30-09-2025 17:56
112,57,45,3,"Packaging could be better, but the item is good.",11-09-2025 17:56
113,57,41,5,Solid performance overall.,14-10-2025 17:56
198,57,5,3,"Packaging could be better, but the item is good.",14-11-2025 16:05
199,57,65,3,Great quality and fast shipping.,15-11-2025 16:05
167,58,37,5,Works well and feels durable.,31-10-2025 15:47
168,58,89,4,Great quality and fast shipping.,26-10-2025 15:47
7,60,74,3,Good value for the price.,15-08-2025 22:55
93,60,98,4,Exactly what I needed.,27-08-2025 15:34
193,60,21,5,Great quality and fast shipping.,30-09-2025 05:59
306,60,24,5,Works well and feels durable.,16-04-2025 05:54
343,60,80,5,Great quality and fast shipping.,26-01-2026 11:54
342,62,3,5,Exactly what I needed.,20-07-2025 07:58
302,63,17,4,The product matched the description.,21-03-2025 20:23
320,63,82,5,Exactly what I needed.,02-08-2025 19:34
321,63,75,4,Exactly what I needed.,28-07-2025 19:34
